iter	Passed	Remaining
1455	50711	2630765
1456	50745	2630671
1457	50778	2630547
1458	50811	2630435
1459	50844	2630309
1460	50880	2630323
1461	50915	2630317
1462	50948	2630181
1463	50981	2630039
1464	51015	2629943
1465	51048	2629808
1466	51082	2629762
1467	51116	2629660
1468	51149	2629569
1469	51183	2629456
1470	51220	2629549
1471	51263	2629931
1472	51303	2630173
1473	51345	2630495
1474	51384	2630655
1475	51428	2631089
1476	51468	2631340
1477	51501	2631228
1478	51534	2631096
1479	51569	2631044
1480	51602	2630920
1481	51635	2630779
1482	51669	2630711
1483	51701	2630532
1484	51732	2630321
1485	51767	2630293
1486	51802	2630251
1487	51833	2630052
1488	51870	2630093
1489	51905	2630094
1490	51939	2629979
1491	51973	2629903
1492	52008	2629895
1493	52040	2629721
